t,V
0,13.9202
0.973,13.8899
1.946,13.8651
2.921,13.8435
3.921,13.82
4.922,13.7969
5.922,13.7741
6.922,13.7543
7.922,13.735
8.922,13.7151
9.922,13.6977
10.921,13.681
11.921,13.6639
12.921,13.6473
13.922,13.6322
14.921,13.6177
15.921,13.6026
16.922,13.5883
17.921,13.5754
18.922,13.5623
19.922,13.5493
20.922,13.5371
21.922,13.5254
22.921,13.513
23.921,13.5026
24.921,13.4905
25.921,13.4801
26.921,13.4699
27.921,13.4585
28.922,13.4481
29.922,13.4375
30.922,13.4283
31.922,13.4185
32.922,13.4081
33.922,13.3992
34.921,13.3895
35.921,13.3802
36.922,13.3702
37.922,13.3623
38.922,13.3521
39.921,13.3428
40.922,13.3341
41.922,13.3258
42.922,13.3162
43.922,13.3073
44.921,13.2975
45.921,13.2887
46.921,13.2804
47.922,13.2717
48.922,13.2636
49.921,13.2545
50.921,13.2464
51.922,13.2367
52.922,13.2286
53.921,13.2202
54.921,13.212
55.921,13.2037
56.922,13.1948
57.922,13.1876
58.921,13.1777
59.921,13.1705
60.921,13.1617
61.922,13.1529
62.922,13.145
63.922,13.1381
64.921,13.128
65.922,13.1207
66.922,13.1125
67.921,13.1036
68.921,13.0967
69.921,13.0884
70.922,13.0801
71.922,13.0735
72.922,13.0642
73.921,13.0565
74.922,13.0485
75.921,13.0404
76.922,13.0335
77.922,13.0245
78.921,13.0182
79.922,13.0105
80.922,13.0034
81.921,12.9962
82.921,12.9891
83.922,12.9816
84.922,12.9741
85.921,12.9659
86.922,12.9586
87.922,12.9517
88.921,12.9454
89.922,12.9391
90.922,12.9309
91.921,12.924
92.921,12.9166
93.922,12.9083
94.922,12.9024
95.921,12.8955
96.921,12.8878
97.922,12.8807
98.922,12.8724
99.922,12.8666
100.921,12.8575
101.922,12.8503
102.922,12.843
103.921,12.8351
104.922,12.828
105.922,12.8203
106.921,12.8121
107.922,12.805
108.922,12.7974
109.922,12.7899
110.921,12.7822
111.921,12.7743
112.922,12.7663
113.922,12.7595
114.921,12.7523
115.921,12.7449
116.922,12.7382
117.922,12.7306
118.922,12.7252
119.922,12.7173
120.921,12.7099
121.922,12.7034
122.922,12.6975
123.921,12.6901
124.921,12.6829
125.922,12.6766
126.922,12.6695
127.921,12.6622
128.921,12.6556
129.922,12.6486
130.921,12.6414
131.922,12.6348
132.922,12.6273
133.921,12.6204
134.922,12.6124
135.922,12.6054
136.921,12.5997
137.922,12.5922
138.921,12.5862
139.921,12.5795
140.922,12.5719
141.922,12.5659
142.922,12.5583
143.921,12.5528
144.922,12.5451
145.922,12.5383
146.921,12.5325
147.922,12.5249
148.921,12.519
149.921,12.5111
150.922,12.5057
151.921,12.4988
152.922,12.4924
153.922,12.485
154.921,12.4787
155.921,12.4736
156.922,12.4671
157.921,12.4599
158.921,12.4531
159.922,12.4475
160.921,12.4405
161.922,12.4345
162.921,12.4265
163.922,12.4198
164.921,12.4132
165.922,12.4068
166.922,12.4007
167.921,12.3934
168.922,12.3871
169.921,12.3804
170.921,12.3734
171.922,12.3682
172.921,12.3612
173.922,12.3546
174.922,12.3481
175.921,12.3414
176.922,12.3351
177.922,12.3285
178.921,12.3216
179.922,12.3156
180.921,12.3086
181.922,12.3025
182.921,12.2961
183.922,12.2905
184.922,12.2832
185.921,12.2765
186.921,12.27
187.922,12.2651
188.921,12.258
189.921,12.2507
190.922,12.2447
191.921,12.2395
192.922,12.2322
193.922,12.2257
194.922,12.22
195.921,12.2124
196.922,12.2068
197.922,12.2007
198.921,12.1944
199.922,12.188
200.921,12.1821
201.921,12.1766
202.922,12.1696
203.921,12.1635
204.922,12.1576
205.921,12.1509
206.921,12.145
207.922,12.1389
208.921,12.1322
209.922,12.1267
210.921,12.1206
211.922,12.1152
212.921,12.1076
213.922,12.1027
214.921,12.0963
215.922,12.091
216.921,12.0845
217.922,12.0779
218.922,12.0726
219.921,12.0661
220.922,12.06
221.922,12.0544
222.921,12.0483
223.922,12.0428
224.921,12.0355
225.922,12.0303
226.921,12.0227
227.922,12.0176
228.921,12.0114
229.922,12.0059
230.921,11.999
231.922,11.994
232.921,11.9871
233.922,11.9807
234.921,11.9744
235.922,11.9694
236.921,11.9628
237.922,11.9573
238.921,11.9513
239.922,11.9462
240.921,11.9398
241.922,11.9333
242.921,11.9278
243.922,11.9215
244.921,11.9162
245.922,11.9112
246.922,11.9055
247.922,11.8993
248.921,11.8937
249.922,11.8875
250.921,11.8827
251.922,11.8763
252.922,11.8706
253.922,11.8652
254.922,11.8589
255.921,11.8541
256.922,11.8484
257.921,11.8418
258.922,11.8368
259.921,11.8305
260.922,11.8254
261.922,11.8188
262.922,11.8166
263.921,11.8092
264.922,11.8031
265.921,11.7971
266.922,11.7912
267.921,11.785
268.922,11.7795
269.921,11.7744
270.922,11.7684
271.922,11.7626
272.921,11.7582
273.922,11.7525
274.921,11.7482
275.922,11.7421
276.921,11.7367
277.922,11.7317
278.921,11.7249
279.922,11.72
280.921,11.713
281.922,11.708
282.921,11.7012
283.922,11.6956
284.922,11.6906
285.921,11.6835
286.922,11.6782
287.921,11.6728
288.922,11.6663
289.921,11.6615
290.922,11.6557
291.921,11.6486
292.922,11.6429
293.921,11.6369
294.922,11.6314
295.921,11.626
296.922,11.6213
297.922,11.616
298.921,11.611
299.922,11.6055
300.921,11.5998
301.922,11.5947
302.921,11.5891
303.922,11.5837
304.922,11.5788
305.921,11.574
306.922,11.5692
307.921,11.5638
308.922,11.5583
309.921,11.5529
310.922,11.5476
311.922,11.5429
312.921,11.5372
313.922,11.5322
314.921,11.5255
315.922,11.5201
316.921,11.5142
317.922,11.5093
318.922,11.5036
319.921,11.4974
320.922,11.4922
321.921,11.4869
322.922,11.4819
323.922,11.4757
324.921,11.4701
325.922,11.4649
326.921,11.4592
327.922,11.4537
328.922,11.4478
329.922,11.4413
330.921,11.4357
331.922,11.4303
332.921,11.4251
333.922,11.4198
334.921,11.4149
335.921,11.4092
336.922,11.4039
337.921,11.3982
338.922,11.3933
339.922,11.3887
340.921,11.3839
341.922,11.3784
342.921,11.3733
343.922,11.3689
344.922,11.3636
345.921,11.3583
346.922,11.353
347.921,11.3485
348.922,11.3437
349.921,11.339
350.922,11.3336
351.921,11.3292
352.922,11.3245
353.921,11.3203
354.921,11.3156
355.922,11.3092
356.922,11.305
357.921,11.3007
358.922,11.2957
359.922,11.2903
360.921,11.285
361.922,11.28
362.922,11.2736
363.921,11.2696
364.922,11.2637
365.921,11.2594
366.922,11.2537
367.921,11.2486
368.922,11.243
369.921,11.2387
370.922,11.2328
371.921,11.2279
372.922,11.2232
373.922,11.2176
374.921,11.2117
375.922,11.2072
376.922,11.2011
377.921,11.1952
378.922,11.1902
379.921,11.1844
380.921,11.1791
381.922,11.1742
382.922,11.1677
383.921,11.1616
384.922,11.1576
385.921,11.1524
386.922,11.1469
387.921,11.1429
388.921,11.1385
389.922,11.1334
390.922,11.129
391.921,11.1243
392.921,11.1198
393.922,11.1146
394.921,11.1103
395.922,11.105
396.922,11.0993
397.921,11.0954
398.922,11.091
399.921,11.0866
400.922,11.0814
401.922,11.0766
402.922,11.0724
403.921,11.0687
404.922,11.0631
405.922,11.0587
406.921,11.0544
407.922,11.0492
408.921,11.045
409.921,11.04
410.922,11.0348
411.921,11.0297
412.922,11.0257
413.922,11.0206
414.921,11.015
415.922,11.0105
416.922,11.0048
417.921,11.0003
418.922,10.9963
419.922,10.9912
420.922,10.9857
421.921,10.9806
422.922,10.9756
423.922,10.9706
424.921,10.966
425.922,10.9606
426.922,10.9568
427.921,10.9513
428.921,10.9462
429.922,10.9424
430.921,10.9372
431.922,10.9327
432.922,10.9272
433.922,10.9225
434.921,10.9179
435.922,10.914
436.921,10.9085
437.921,10.9038
438.922,10.899
439.922,10.8941
440.921,10.8897
441.921,10.8839
442.922,10.8793
443.922,10.8745
444.922,10.8702
445.921,10.8642
446.922,10.8597
447.922,10.8542
448.921,10.8493
449.922,10.8442
450.922,10.8388
451.921,10.8336
452.922,10.8299
453.922,10.8247
454.921,10.8193
455.922,10.815
456.922,10.81
457.921,10.8054
458.921,10.8008
459.922,10.7962
460.922,10.7912
461.922,10.7868
462.921,10.7828
463.921,10.7779
464.921,10.7731
465.922,10.7682
466.922,10.7634
467.922,10.7593
468.922,10.7539
469.921,10.7491
470.922,10.7447
471.922,10.7407
472.921,10.7363
473.921,10.732
474.922,10.7264
475.921,10.7225
476.921,10.7186
477.922,10.7135
478.921,10.7097
479.921,10.7047
480.922,10.7
481.922,10.6952
482.922,10.6913
483.922,10.6865
484.921,10.6817
485.921,10.6775
486.922,10.6723
487.922,10.668
488.922,10.6629
489.921,10.6583
490.921,10.6541
491.922,10.6494
492.922,10.6451
493.921,10.6409
494.922,10.6362
495.922,10.6319
496.921,10.627
497.921,10.6231
498.921,10.6177
499.921,10.6135
500.921,10.6093
501.921,10.6039
502.922,10.5995
503.921,10.5955
504.92,10.5912
505.92,10.5868
506.921,10.5817
507.921,10.5774
508.92,10.5724
509.92,10.5681
510.921,10.5632
511.921,10.5585
512.92,10.5548
513.92,10.5497
514.92,10.5448
515.921,10.5405
516.921,10.5355
517.92,10.531
518.921,10.527
519.921,10.5224
520.92,10.5181
521.92,10.5147
522.921,10.5089
523.921,10.5058
524.92,10.5016
525.92,10.4973
526.921,10.493
527.921,10.4885
528.921,10.4833
529.92,10.4794
530.92,10.4746
531.92,10.4703
532.921,10.4673
533.921,10.4626
534.92,10.4576
535.92,10.4538
536.921,10.4508
537.92,10.4461
538.92,10.4412
539.921,10.4367
540.921,10.4329
541.92,10.4281
542.92,10.4233
543.921,10.4193
544.92,10.4153
545.92,10.4107
546.921,10.4064
547.921,10.4028
548.92,10.3974
549.92,10.3931
550.921,10.3902
551.921,10.3848
552.921,10.3805
553.92,10.3769
554.92,10.3734
555.921,10.3684
556.921,10.3638
557.921,10.3601
558.92,10.3561
559.92,10.3518
560.92,10.3487
561.921,10.344
562.921,10.3403
563.921,10.3359
564.92,10.332
565.921,10.3273
566.92,10.3238
567.92,10.3205
568.921,10.3154
569.921,10.3122
570.92,10.3079
571.92,10.3032
572.92,10.2988
573.921,10.2951
574.921,10.2918
575.92,10.2868
576.92,10.2833
577.92,10.2801
578.921,10.275
579.921,10.271
580.92,10.2679
581.921,10.2628
582.921,10.2597
583.92,10.2552
584.92,10.2517
585.92,10.247
586.921,10.2432
587.921,10.2387
588.921,10.2344
589.92,10.231
590.92,10.2268
591.92,10.2229
592.92,10.2175
593.921,10.2143
594.921,10.2099
595.92,10.2055
596.92,10.2008
597.92,10.1961
598.921,10.1938
599.92,10.1884
600.921,10.1841
601.92,10.1804
602.92,10.1766
603.92,10.1722
604.92,10.1676
605.92,10.1636
606.92,10.1588
607.92,10.1547
608.92,10.1502
609.92,10.146
610.92,10.142
611.92,10.1378
612.92,10.1341
613.92,10.1302
614.92,10.1254
615.92,10.1217
616.921,10.1173
617.92,10.1131
618.92,10.1092
619.92,10.1052
620.92,10.1008
621.92,10.0966
622.92,10.0931
623.921,10.0878
624.921,10.0846
625.921,10.0804
626.921,10.0759
627.921,10.0726
628.921,10.0676
629.921,10.0645
630.92,10.0594
631.92,10.0552
632.922,10.0516
633.921,10.0488
634.921,10.0438
635.921,10.0411
636.921,10.0366
637.921,10.0319
638.921,10.0274
639.921,10.0241
640.921,10.0198
641.92,10.0145
642.921,10.011
643.921,10.0078
644.92,10.0028
645.921,9.9986
646.922,9.9943
647.922,9.9905
648.922,9.9861
649.921,9.9813
650.922,9.979
651.922,9.9734
652.922,9.9703
653.922,9.9676
654.921,9.9627
655.922,9.9591
656.922,9.9555
657.922,9.951
658.922,9.9474
659.921,9.9439
660.921,9.9395
661.921,9.9357
662.922,9.9308
663.922,9.9278
664.922,9.9238
665.922,9.9209
666.921,9.9159
667.921,9.9127
668.921,9.908
669.921,9.9053
670.921,9.9011
671.921,9.8972
672.921,9.8936
673.922,9.889
674.922,9.8834
675.922,9.8797
676.922,9.8755
677.921,9.8712
678.921,9.8663
679.922,9.8627
680.922,9.8587
681.922,9.8537
682.921,9.8495
683.921,9.8465
684.922,9.8414
685.922,9.8376
686.922,9.8334
687.921,9.8293
688.922,9.8254
689.922,9.8205
690.922,9.8165
691.922,9.8115
692.922,9.8079
693.921,9.8042
694.921,9.8008
695.921,9.7954
696.921,9.7919
697.922,9.7869
698.922,9.7832
699.922,9.779
700.921,9.7756
701.922,9.7717
702.922,9.7672
703.922,9.7642
704.921,9.7598
705.921,9.7561
706.922,9.7522
707.922,9.7493
708.921,9.7439
709.922,9.741
710.922,9.7372
711.921,9.733
712.921,9.7297
713.921,9.7264
